기관명,의료기관명,소재지,전화번호
의원,김영철내과의원,부산광역시 영도구 태종로 334 (청학동),051-416-2002
의원,송인무이비인후과의원,부산광역시 영도구 태종로 129 (영선동1가),051-414-8147
의원,천성의원,부산광역시 영도구 일산봉로 95 (청학동),051-412-4408
의원,한정희소아청소년과의원,"부산광역시 영도구 절영로 114-1, 1층 (영선동3가)",051-412-2100
의원,성백운 소아청소년과가정의학과의원,부산광역시 영도구 동삼로 69 (동삼동),051-404-2800
의원,김주태내과의원,부산광역시 영도구 남항로 48-1 (영선동2가),051-412-1876
의원,최동정형외과의원,부산광역시 영도구 절영로 49 (남항동1가),051-412-6661
의원,고려의원,부산광역시 영도구 태종로 83 (대교동2가),051-414-7777
의원,김순웅이비인후과의원,"부산광역시 영도구 태종로 85-1, 2층 (대교동2가)",051-413-3353
의원,한승희 산부인과 의원,부산광역시 영도구 태종로 102 (대교동2가),051-416-6776
의원,계응심산부인과의원,부산광역시 영도구 절영로 53 (남항동1가),051-416-5780
의원,성심의원,부산광역시 영도구 절영로 54 (남항동1가),051-413-1870
치과의원,훈치과의원,"부산광역시 영도구 와치로 250, 4층 (동삼동)",051-900-0208
치과의원,수치과의원,"부산광역시 영도구 상리로 33, 3층 (동삼동)",051-405-2875
치과의원,세민치과의원,"부산광역시 영도구 동삼로 64 (동삼동, 농협중앙회)",051-545-2875
치과의원,보스톤화이트e치과의원,"부산광역시 영도구 절영로 30, 3층 (대교동1가, 삼세메디컬센터)",051-717-2575
치과의원,영도타임치과의원,"부산광역시 영도구 동삼로 56, 203-1호 (동삼동, 한나타워)",051-412-2875
치과의원,편한치과의원,"부산광역시 영도구 동삼로 45, 2층층 (동삼동)",051-403-3334
치과의원,영도오복치과의원,"부산광역시 영도구 태종로 99, 2층 (대교동2가)",051-412-7528
치과의원,해동치과의원,부산광역시 영도구 절영로13번길 59 (봉래동3가),051-413-2275
치과의원,탑치과의원,"부산광역시 영도구 동삼로 25, 5층 (동삼동)",051-404-2804
치과의원,건치과의원,"부산광역시 영도구 영선대로 81, 2F층 (영선동2가)",051-417-2800
치과의원,바른이 고른-e 치과의원,부산광역시 영도구 태종로 114 (영선동1가),051-417-9300
치과의원,수도치과의원,"부산광역시 영도구 태종로 160, 6층 (봉래동4가)",051-416-2888
치과의원,오렌지치과의원,"부산광역시 영도구 태종로 98, 3층 (대교동2가)",051-417-7528
치과의원,영도부부치과의원,"부산광역시 영도구 태종로 97, 지상3층 (대교동2가)",051-418-0275
치과의원,프랜드치과의원,"부산광역시 영도구 대교로 1, 3층 (봉래동3가, 미라클타워)",051-413-2875
치과의원,청학치과의원,부산광역시 영도구 태종로 325 (청학동),051-418-7528
치과의원,참치과의원,부산광역시 영도구 중리로 46-1 (동삼동),051-405-8787
치과의원,로덴치과의원,"부산광역시 영도구 동삼로 61, 지상2층 (동삼동)",051-403-3110
치과의원,상아치과의원,"부산광역시 영도구 절영로 99, 2층 (영선동3가)",051-413-6115
치과의원,미&플란트치과의원,부산광역시 영도구 태종로 372 (청학동),051-416-1155
치과의원,이광열치과의원,부산광역시 영도구 남항로 43 (영선동2가),051-413-4604
치과의원,서승도치과의원,부산광역시 영도구 청학로 91 (청학동),051-413-0152
치과의원,프랜드이사랑치과의원,"부산광역시 영도구 동삼로 23, 3층 (동삼동)",051-405-1010
치과의원,전치과의원,부산광역시 영도구 남항로 22-1 (남항동2가),051-416-5151
치과의원,장창민치과의원,"부산광역시 영도구 남항로 52, 3층 (영선동2가)",051-414-7447
치과의원,현대치과의원,부산광역시 영도구 태종로 106 (대교동2가),051-413-2100
치과의원,박성국치과의원,"부산광역시 영도구 절영로 123, 2층 (영선동3가)",051-417-2422
치과의원,황의창치과의원,부산광역시 영도구 절영로13번길 72 (영선동1가),051-413-2818
치과의원,김희자치과의원,부산광역시 영도구 태종로 85-1 (대교동2가),051-412-3147
치과의원,노치과의원,"부산광역시 영도구 태종로 96, 4층 (대교동2가)",051-416-9802
한의원,의료법인 소명의료재단 힐링한의원,부산광역시 영도구 절영로7번길 72 (봉래동3가),051-414-7575
한의원,어울림 한의원,"부산광역시 영도구 와치로 246, 2층 (동삼동)",051-403-4080
한의원,나나한의원,"부산광역시 영도구 남항로9번길 56, 3층 (대교동1가)",051-971-0949
한의원,해민한의원,"부산광역시 영도구 대교로 11 (봉래동3가, 새마을금고 2층)",051-412-7513
한의원,보민한의원,"부산광역시 영도구 태종로 137, 2층 (봉래동3가)",051-413-1275
한의원,강인 한의원,부산광역시 영도구 남항로 34-2 (남항동2가),051-413-7582
한의원,온마음한의원,부산광역시 영도구 태종로 103-1 (대교동2가),051-417-7588
한의원,광제한의원,"부산광역시 영도구 태종로384번길 1, 1층 (청학동)",051-412-1275
한의원,성복한의원,부산광역시 영도구 절영로 98 (영선동3가),051-413-1741
한의원,제민한의원,부산광역시 영도구 남항로 36 (남항동2가),051-413-7288
한의원,약손한의원,"부산광역시 영도구 동삼로 23, 2층 (동삼동)",051-405-7501
한의원,나비아이한의원,부산광역시 영도구 꿈나무길 221 (영선동2가),051-418-7575
한의원,영도한의원,"부산광역시 영도구 태종로 109, 2.3층 (영선동1가)",051-412-0075
한의원,큰사랑한의원,부산광역시 영도구 태종로 93 (대교동2가),051-417-6337
한의원,제영한의원,부산광역시 영도구 상리로 35 (동삼동),051-404-1275
한의원,부산한의원,부산광역시 영도구 태종로 98 (대교동2가),051-413-8100
한의원,이정원한의원,부산광역시 영도구 태종로 381 (청학동),051-418-1075
한의원,바른약선한의원,"부산광역시 영도구 태종로 106, 2층 (대교동2가)",051-413-5600
한의원,제강한의원,부산광역시 영도구 중리북로 42 (동삼동),051-405-1075
한의원,곤륜한의원,부산광역시 영도구 웃서발로 78-1 (동삼동),051-405-8053
한의원,홍코치한의원,부산광역시 영도구 동삼로 45 (동삼동),051-413-1155
한의원,강윤호한의원,부산광역시 영도구 태종로 319 (청학동),051-416-6799
한의원,은혜한의원,부산광역시 영도구 절영로 560 (동삼동),051-403-7048
한의원,본디올청학한의원,부산광역시 영도구 태종로 325 (청학동),051-416-4167
한의원,부경한의원,부산광역시 영도구 청학로 88-1 (청학동),051-412-0106
한의원,홍상철한의원,부산광역시 영도구 태종로113번길 33 (봉래동3가),051-418-1575
한의원,아남한의원,부산광역시 영도구 절영로 117-3 (영선동3가),051-418-0048
한의원,장생한의원,부산광역시 영도구 동삼로 64 (동삼동),051-403-1432
한의원,제원한의원,부산광역시 영도구 태종로 144 (봉래동3가),051-415-3560
한의원,태종대한의원,부산광역시 영도구 동삼로 50 (동삼동),051-403-7866
한의원,인덕한의원,부산광역시 영도구 절영로29번길 5 (대교동2가),051-415-2882
한의원,(의)삼세의료재단 삼세한의원,부산광역시 영도구 절영로 30 (대교동1가),051-418-7777
한의원,원회춘한의원,부산광역시 영도구 태종로 127-1 (영선동1가),051-412-0300
한의원,경래한의원,부산광역시 영도구 대교로 6 (봉래동3가),051-416-2525
