기관명,의료기관명,주소,전화번호
의원,온정신건강의학과의원,"부산광역시 금정구 온천장로 131, 2층 (장전동)",051-504-7575
의원,민들레내과의원,"부산광역시 금정구 중앙대로 2093, 5-6층(남산동)",051-714-5772
의원,김태균내과의원,부산광역시 금정구 중앙대로1719번길 16 (부곡동),051-703-8875
의원,우리메디컬의원,부산광역시 금정구 중앙대로 1939 (구서동),051-517-8090
의원,한솔마취통증의학과의원,부산광역시 금정구 범어천로38번길 1 (남산동),051-512-8500
의원,항소담외과의원,"부산광역시 금정구 금정로 252, 3~5층 (구서동, 세정타워)",051-582-7517
의원,백용운소아청소년과의원,"부산광역시 금정구 중앙대로 2091, 6,7,8층 (남산동)",051-516-2612
의원,영이비인후과의원,부산광역시 금정구 구서로 23 (구서동),051-513-1050
의원,화창한외과의원,부산광역시 금정구 중앙대로 1827 (구서동),051-514-9119
의원,위드이비인후과의원,"부산광역시 금정구 중앙대로 2101, 201호 (남산동)",051-583-7300
의원,위드안과의원,"부산광역시 금정구 중앙대로 2101, 203호 (남산동)",051-583-7301
의원,동산라벨라의원,"부산광역시 금정구 중앙대로1945번길 12, -1층 (구서동)",051-516-3383
의원,아카데미피부과의원,"부산광역시 금정구 구서로 17, 5층 (구서동)",051-512-7577
의원,단골정형외과의원,부산광역시 금정구 중앙대로1841번길 2 (구서동),051-582-0100
의원,박 정형외과의원,"부산광역시 금정구 중앙대로 1727, 2,3층 (부곡동)",051-911-7575
의원,하나가정의학과의원,부산광역시 금정구 금강로 209 (장전동),051-517-1190
의원,씨에프정훈비뇨기과의원,부산광역시 금정구 부곡로 120-1 (부곡동),051-513-7576
의원,브이엘의원,부산광역시 금정구 부산대학로 47 (장전동),051-921-7979
의원,손동훈정형외과의원,"부산광역시 금정구 중앙대로 2101, 4층 (남산동, 금정농협)",051-513-9300
의원,"행복의원,한의원","부산광역시 금정구 서동로 153, 2층 (서동)",051-522-2900
의원,이진우이비인후과의원,부산광역시 금정구 금강로 206-16 (장전동),051-517-0112
의원,다나마취통증의학과의원,"부산광역시 금정구 온천장로 131, 4층 (장전동, 우성빌딩)",051-515-7141
의원,지온정형외과의원,부산광역시 금정구 중앙대로 1897 (구서동),051-518-7007
의원,김미경가정의학과의원,"부산광역시 금정구 금강로 206-1, 2층 (장전동)",051-582-7575
의원,김동건재활의학과의원,부산광역시 금정구 구서로 17 (구서동),051-517-7373
의원,강지혜소아청소년과의원,부산광역시 금정구 구서로 17 (구서동),051-513-7931
의원,이가정의학과의원,"부산광역시 금정구 중앙대로 2097, 3층 (남산동)",051-517-0787
의원,튼튼소아청소년과의원,부산광역시 금정구 서동로 168 (서동),051-532-7582
의원,수사랑의원,"부산광역시 금정구 중앙대로 1731, 2층 (부곡동, 롯데마트)",070-4099-4830
의원,최내과의원,"부산광역시 금정구 금강로 322, 1층 (장전동)",051-514-6822
의원,수가정의학과의원,"부산광역시 금정구 학산로13번길 46, 2층 (남산동)",051-516-8787
의원,김진구내과의원,"부산광역시 금정구 구서로 23, 3층 (구서동)",051-514-2280
의원,늘편한내과의원,"부산광역시 금정구 중앙대로1841번길 15, 2층 (구서동)",051-583-1199
의원,부산하나이비인후과의원,"부산광역시 금정구 중앙대로1841번길 15, 3층 (구서동, 명성빌딩)",051-513-7570
의원,강남의원,"부산광역시 금정구 서동로 166-1, 2,3층 (서동)",051-524-9996
의원,조인찬마취통증의학과의원,"부산광역시 금정구 중앙대로 1943, 3층 (구서동)",051-518-9038
의원,큰으뜸내과의원,"부산광역시 금정구 서동로 168, 7층 (서동)",051-531-7005
의원,엘(L)피부과의원,"부산광역시 금정구 중앙대로 1943, 8층 (구서동, 첨단빌딩)",051-512-8275
의원,수이비인후과의원,"부산광역시 금정구 부산대학로38번길 8, 2,3층 (장전동)",051-583-7585
의원,새샘내과의원,"부산광역시 금정구 서동로149번길 7, 2층 (서동)",051-532-6660
의원,온천이비인후과의원,"부산광역시 금정구 온천장로 131, 4층 (장전동, 우성빌딩)",051-512-4713
의원,김옥영소아청소년과의원,"부산광역시 금정구 수림로 15, 하나클리닉센터 4층 (부곡동)",051-517-1275
의원,새로운정형외과의원,"부산광역시 금정구 중앙대로1841번길 23, 3층 (구서동)",051-514-8446
의원,미소웰산부인과의원,"부산광역시 금정구 중앙대로1841번길 15, 4층 (구서동, 명성빌딩)",051-516-0079
의원,평강의원,"부산광역시 금정구 시실로 13, 2층 (부곡동)",051-515-8271
의원,현대의원,"부산광역시 금정구 서부로 31, 2층 (서동)",051-521-6638
의원,굿닥터의원,부산광역시 금정구 서명로 15-1 (서동),051-524-0028
의원,사)대한산업보건협회 부산의원,"부산광역시 금정구 중앙대로 2139, 2층 (청룡동, 동아빌딩)",051-508-6084
의원,미소유의원,"부산광역시 금정구 수림로 13, 4층 (부곡동, 동원빌딩)",051-518-2114
의원,향사랑외과의원,"부산광역시 금정구 중앙대로1841번길 23, 4층 (구서동, 현대타운)",051-517-7582
의원,한솔내과의원,"부산광역시 금정구 구서로 17, 2층 (구서동)",051-581-3242
의원,서동정안과의원,부산광역시 금정구 서동로 154 (서동),051-522-3011
의원,이엔이비인후과의원,"부산광역시 금정구 부곡로 105, 3층 (부곡동, 부곡새마을금고)",051-513-0081
의원,미래의원,"부산광역시 금정구 금강로 711, 2층 (남산동)",051-517-7177
의원,맑은샘가정의학과의원,"부산광역시 금정구 식물원로39번길 26, 201호 (장전동)",051-515-1665
의원,강남미르비뇨기과의원,"부산광역시 금정구 구서로 2, 3층 (구서동)",051-514-1808
의원,하나의원,"부산광역시 금정구 부곡로 110, 2층 (부곡동)",051-517-5573
의원,장한기안과의원,"부산광역시 금정구 부곡로 120-1, 2층 (부곡동)",051-513-7700
의원,남산하나정형외과의원,"부산광역시 금정구 중앙대로 2049, 2,3층 (남산동)",051-515-8003
의원,박기남마취통증의학과의원,"부산광역시 금정구 부곡로 120-1, 3층 (부곡동, 명성빌딩)",051-513-8080
의원,다정한내과의원,"부산광역시 금정구 서동중심로 61, 2층 (서동)",051-528-6471~2
의원,푸른내과의원,"부산광역시 금정구 벅구산로 2, 2층(남산동)",051-515-5311
의원,밝은홍안과의원,"부산광역시 금정구 중앙대로 1917, 5층 (구서동)",051-514-3773
의원,서동참정형외과의원,"부산광역시 금정구 서동로 154, 4~6층 (서동)",051-526-9191
의원,우리정신건강의학과의원,"부산광역시 금정구 수림로 15, 2층 (부곡동)",051-581-8275
의원,온새미가족사랑의원,"부산광역시 금정구 팔송로 28, 2층 (남산동)",051-517-6675
의원,심우영이비인후과의원,"부산광역시 금정구 중앙대로 1711, 7층 (부곡동, 금정빌딩)",051-514-2330
의원,황윤권정형외과의원,"부산광역시 금정구 부곡온천천로 138, 2층 (부곡동)",051-515-5713
의원,보문정형외과의원,"부산광역시 금정구 중앙대로 1933, 1~3층 (구서동)",051-581-0012~3
의원,옥승철내과의원,"부산광역시 금정구 서동로 158, 2층 (서동)",051-531-1195
의원,이정삼이비인후과의원,"부산광역시 금정구 금강로 569, 2층 (구서동)",051-583-2672
의원,지니산부인과의원,"부산광역시 금정구 부산대학로 23 (장전동, 태양빌딩)",051-582-8275
의원,이기범내과의원,"부산광역시 금정구 두실로 36, 3층 (남산동)",051-515-7999
의원,전명호내과의원,"부산광역시 금정구 가마실로 21-1, 2층 (부곡동)",051-518-1662
의원,조내과김경미산부인과의원,"부산광역시 금정구 수림로 15, 5층 (부곡동)",051-512-2060
의원,조이피부과의원,"부산광역시 금정구 수림로 15, 4층 (부곡동)",051-582-7573
의원,최진섭신경외과의원,부산광역시 금정구 두실로 36 (남산동),051-515-4845
의원,노덕현이비인후과의원,"부산광역시 금정구 서동로 168, 3층 (서동, 송월빌딩)",051-527-2970
의원,김두정정형외과의원,"부산광역시 금정구 부곡로 117, 2층 (부곡동)",051-583-8181~3
의원,이종호피부과의원,"부산광역시 금정구 서동로 151, 2층 (서동)",051-527-7083
의원,최난금이비인후과의원,"부산광역시 금정구 부곡로 118, 2층 (부곡동)",051-517-6735
의원,이상열마취통증의학과의원,"부산광역시 금정구 구서로 2, 2층 (구서동)",051-516-0888
의원,봄빛안과의원,"부산광역시 금정구 구서로 17, 3층 (구서동)",051-516-8182
의원,김박산부인과의원,"부산광역시 금정구 구서로 2, 3층 (구서동)",051-514-2626
의원,갤러리안과의원,부산광역시 금정구 부산대학로 50 (장전동),051-516-0075
의원,우리의원,"부산광역시 금정구 금사로 95, 2,3층 (금사동)",051-531-8291
의원,이상목이비인후과의원,"부산광역시 금정구 서동로 165, 2층 (서동)",051-528-1333
의원,베스트의원,"부산광역시 금정구 식물원로 59, 1층 (장전동, B/K 오피스텔 101호)",051-512-6206
의원,디킴스피부과의원,부산광역시 금정구 중앙대로 1939 (구서동),051-512-3961
의원,남산안과의원,부산광역시 금정구 중앙대로 1941 (구서동),051-512-1115
의원,김철수이비인후과의원,"부산광역시 금정구 금정로 147, 2층 (장전동)",051-582-5125
의원,최양숙소아청소년과의원,부산광역시 금정구 금강로 441 (구서동),051-517-6038
의원,세인이비인후과의원,"부산광역시 금정구 금강로 441, 2층 (구서동)",051-514-3332
의원,김비뇨기과의원,"부산광역시 금정구 중앙대로 2005, 2층 (남산동)",051-582-0807
의원,정영기내과의원,부산광역시 금정구 중앙대로1985번길 1 (남산동),051-517-7509
의원,남산제일내과의원,부산광역시 금정구 금강로 713 (남산동),051-582-5526
의원,한독외과의원,부산광역시 금정구 서동로 75-5 (부곡동),051-515-4680
의원,누가정형외과의원,부산광역시 금정구 금사로 122 (금사동),051-531-2331
의원,박민근외과의원,부산광역시 금정구 서동중심로 15 (서동),051-521-3609
의원,한사랑의원,"부산광역시 금정구 부곡로 48, 2층 (부곡동)",051-512-3617
의원,동명의원,"부산광역시 금정구 중앙대로 2117, 2층 (청룡동)",051-508-6982
의원,김경수내과의원,"부산광역시 금정구 부곡로 91, 2층 (부곡동)",051-512-4142
의원,최우근내과의원,"부산광역시 금정구 금강로 563, 2층 (구서동)",051-514-9795
의원,채경석비뇨기과의원,부산광역시 금정구 서동로 164 (서동),051-526-6391
의원,김안과의원,부산광역시 금정구 서동로 161 (서동),051-527-9839
의원,이만희이비인후과의원,부산광역시 금정구 서동로 155 (서동),051-523-1046
의원,동신외과의원,부산광역시 금정구 금정로 55 (장전동),051-582-1001
의원,성심의원,"부산광역시 금정구 무학송로 106, 2층 (부곡동)",051-512-0288
의원,세종외과의원,부산광역시 금정구 금사로 53-1 (서동),051-523-3028
의원,든든한덕모신경외과의원,부산광역시 금정구 가마실로 21-1 (부곡동),051-513-5666
의원,정성일의원,"부산광역시 금정구 서동로 105, 3층 (서동)",051-524-2947
의원,이석희내과의원,부산광역시 금정구 부산대학로64번길 339 (장전동),051-512-3369
의원,성모정형외과의원,"부산광역시 금정구 반송로 385, 1,2층 (서동)",051-525-3553
의원,박종성내과의원,부산광역시 금정구 서동로 165 (서동),051-523-9339
의원,김종주의 행복의원,부산광역시 금정구 수림로 51 (장전동),051-581-4004
의원,박성철소아청소년과의원,부산광역시 금정구 두실로 36 (남산동),051-581-4301
의원,한독의원,부산광역시 금정구 금강로415번길 1 (구서동),051-582-1302
의원,태명산내과의원,"부산광역시 금정구 부곡로 115, 2층 (부곡동)",051-513-0011
의원,속속드리내과의원,"부산광역시 금정구 오시게로 22, 2층 (부곡동)",051-501-2079
의원,돌고래마취통증의학과의원,"부산광역시 금정구 중앙대로 1941, 태일빌딩 4층 (구서동)",051-512-9001
의원,다움의원,"부산광역시 금정구 부곡로 122-1, 3층 (부곡동)",051-517-7500
의원,연세수마취통증의학과의원,"부산광역시 금정구 구서로 10, 6층 (구서동)",051-937-3331
의원,금정성모안과의원,"부산광역시 금정구 구서로 10, 501호 (구서동)",051-711-7977
의원,미의원,"부산광역시 금정구 금정로 83, 2층 (장전동)",051-518-5761
의원,탑연합비뇨의학과의원,"부산광역시 금정구 온천장로 132, 극동빌딩 3층 (장전동)",051-554-6888
의원,우리연합의원,"부산광역시 금정구 온천장로125번길 38, 2층 (장전동)",051-515-7512
의원,금정이비인후과의원,"부산광역시 금정구 중앙대로 1937, 2층 (구서동)",051-514-9911
치과의원,명아치과의원,"부산광역시 금정구 중앙대로 1937, 5층 (구서동)",051-582-2888
치과의원,래미안치과의원,"부산광역시 금정구 금정로 35, 2층 (장전동)",051-583-2275
치과의원,디이엔치과의원,"부산광역시 금정구 중앙대로 2002-1, 2층 (남산동, 디이엔치과)",051-514-0100
치과의원,바른몸치과의원,"부산광역시 금정구 구서중앙로15번길 27, 1층 (구서동, 산들파르테)",051-583-7588
치과의원,바로나치과의원,"부산광역시 금정구 온천장로 131, 5층 (장전동, 우성빌딩)",051-518-7582
치과의원,나치과의원,"부산광역시 금정구 중앙대로 2091, 5층 (남산동, 금정메디컬센타)",051-582-4554
치과의원,범어연합치과의원,부산광역시 금정구 중앙대로 2102 (남산동),051-514-2080
치과의원,맨하탄치과의원,부산광역시 금정구 중앙대로 1717 (부곡동),051-512-8270
치과의원,바른정치과의원,"부산광역시 금정구 청룡예전로 2, 4층 (청룡동, 경신빌딩)",051-710-0010
치과의원,주안치과의원,"부산광역시 금정구 금강로 336, 2층 (장전동)",051-518-0900
치과의원,하늘치과의원,부산광역시 금정구 서부곡로 2 (부곡동),051-582-2275
치과의원,시카고치과의원,부산광역시 금정구 금강로 198 (장전동),051-746-0280
치과의원,하이얀치과의원,"부산광역시 금정구 금정로233번길 85, 2층 (구서동)",051-518-7750
치과의원,구서바른이치과교정과치과의원,부산광역시 금정구 중앙대로1841번길 39 (구서동),051-515-2885
치과의원,노엘치과의원,"부산광역시 금정구 부산대학로 29, 4층 404호 (장전동, 네오스퀘어)",051-583-2822
치과의원,하루미치과의원,부산광역시 금정구 중앙대로1929번길 12 (구서동),051-516-2772
치과의원,우리들치과의원,"부산광역시 금정구 금강로 567, 2층 (구서동)",051-581-7528
치과의원,이편한치과의원,"부산광역시 금정구 금강로 208, 2층 (장전동)",051-583-1600
치과의원,미소드림치과의원,"부산광역시 금정구 금강로 209, 4층 (장전동, 한신시티빌)",051-514-2875
치과의원,행복한치과의원,"부산광역시 금정구 구서로 24, 2층 (구서동, 농협)",051-516-8275
치과의원,느티나무치과의원,"부산광역시 금정구 구서로 23, 3층 (구서동)",051-516-2875
치과의원,본치과의원,"부산광역시 금정구 중앙대로 1935, 3층 (구서동)",051-515-7475
치과의원,위더스예쁜이치과의원,"부산광역시 금정구 금정로233번길 85, 3층 (구서동)",051-514-7475
치과의원,한결치과의원,"부산광역시 금정구 금정로 149, 2층 (장전동)",051-518-2888
치과의원,뉴아미치과의원,"부산광역시 금정구 중앙대로1629번길 26, 3층 (부곡동)",051-513-7525
치과의원,미래어린이치과의원,부산광역시 금정구 중앙대로1841번길 2 (구서동),051-517-2875
치과의원,미네소타치과의원,"부산광역시 금정구 서동로 168, 3층 (서동)",051-532-5323
치과의원,뉴플란트치과의원,"부산광역시 금정구 중앙대로1719번길 37, 5층 (부곡동, 정암빌딩)",051-518-2830
치과의원,올리브치과의원,"부산광역시 금정구 금정로 72, 2층 (장전동)",051-583-7582
치과의원,키즈현치과의원,"부산광역시 금정구 구서로 2, 4층 (구서동, 정우빌딩)",051-583-7528
치과의원,굿서울치과의원,"부산광역시 금정구 금강로 492, 4층 (구서동)",051-582-7998
치과의원,캐슬치과의원,"부산광역시 금정구 금강로 503, 2층 (구서동, 롯데캐슬상가 201호)",051-582-2875
치과의원,안치과의원,"부산광역시 금정구 금강로 494, 4층 (구서동, 구서골드 3상가 401호)",051-518-2288
치과의원,세웅치과의원,"부산광역시 금정구 서동로 162, 2층 (서동, 세웅병원)",051-523-1364
치과의원,푸른사과치과의원,"부산광역시 금정구 부곡로 118, 3층 (부곡동, 동원빌딩)",051-516-7528
치과의원,참조은치과의원,"부산광역시 금정구 중앙대로1841번길 23, 5층 (구서동)",051-516-2810
치과의원,김은경치과의원,"부산광역시 금정구 부곡로 116, 2층 (부곡동)",051-583-2806
치과의원,미소美치과의원,"부산광역시 금정구 금강로 711, 3층 (남산동, 홍원빌딩)",051-582-7528
치과의원,남산선치과의원,"부산광역시 금정구 중앙대로 2005, 3층 (남산동)",051-513-1275
치과의원,청아치과의원,부산광역시 금정구 중앙대로 1943 (구서동),051-583-2875
치과의원,차치과의원,"부산광역시 금정구 금강로 205, 2층 (장전동, 금정산Skview 상가 301동 206,207호)",051-516-2854
치과의원,서동치과의원,"부산광역시 금정구 서동로 155, 2층 (서동)",051-529-7090
치과의원,조미정치과의원,부산광역시 금정구 부곡로 105 (부곡동),051-515-7022
치과의원,김태관치과의원,"부산광역시 금정구 서동로 73, 2층 (부곡동)",051-512-2820
치과의원,동안치과의원,"부산광역시 금정구 수림로 17, 3층 (부곡동)",051-516-1121
치과의원,예인치과의원,"부산광역시 금정구 부산대학로 23, 5,6층 (장전동)",051-514-2829
치과의원,민부부치과의원,"부산광역시 금정구 금사로 81, 2층 (금사동)",051-524-2511
치과의원,진부부치과의원,"부산광역시 금정구 수림로 13, 3층 (부곡동)",051-582-8655
치과의원,턱편한잎새치과의원,"부산광역시 금정구 수림로 15, 2층 (부곡동)",051-512-7572
치과의원,류청치과의원,"부산광역시 금정구 중앙대로1929번길 11, 4층 (구서동, 유림빌딩)",051-515-2724
치과의원,굿모닝치과의원,"부산광역시 금정구 중앙대로 1723, 2층 (부곡동)",051-517-2833
치과의원,수치과의원,"부산광역시 금정구 중앙대로 1925, 2층 (구서동)",051-517-2804
치과의원,아름다운치과의원,"부산광역시 금정구 중앙대로 2101, 3층 (남산동)",051-508-7676
치과의원,한빛치과의원,"부산광역시 금정구 중앙대로 1617-12 (부곡동, 푸르지오 101동 상가 222호)",051-583-2941
치과의원,조성재치과의원,"부산광역시 금정구 부산대학로 10, 2층 (부곡동, 대우상가 29동 202호)",051-581-8838
치과의원,미소고운선치과의원,"부산광역시 금정구 금사로 76, 2층 (금사동)",051-527-5785
치과의원,프랜드금치과의원,"부산광역시 금정구 수림로 6, 2층 (부곡동, 선경상가 201호)","051-518-4800,4848"
치과의원,성심치과의원,"부산광역시 금정구 금강로 352, 3층(장전동)",051-512-7776
치과의원,명성치과의원,"부산광역시 금정구 부곡로 120-1, 5층 (부곡동)",051-514-3388
치과의원,프라임치과의원,"부산광역시 금정구 중앙대로1841번길 15, 5층 (구서동)",051-582-7582
치과의원,삼성치과의원,부산광역시 금정구 중앙대로 2095 (남산동),051-514-1534
치과의원,차병철치과의원,부산광역시 금정구 서동중심로 60 (서동),051-531-3303
치과의원,이루미치과의원,"부산광역시 금정구 수림로 15, 6,7층 (부곡동)",051-582-8980
치과의원,심홍택치과의원,부산광역시 금정구 금강로 565 (구서동),051-514-3301
치과의원,리더스차치과의원,부산광역시 금정구 중앙대로 1727 (부곡동),051-518-0251
치과의원,동래미치과의원,"부산광역시 금정구 부곡로 38, 2층 (부곡동)",051-512-2879
치과의원,박지태치과의원,"부산광역시 금정구 금강로 441, 2층 (구서동)",051-518-6336
치과의원,남산치과의원,"부산광역시 금정구 팔송로 36, 2층 (남산동)",051-515-1281
치과의원,탑치과의원,"부산광역시 금정구 구서로 16, 2층 (구서동)",051-515-8267
치과의원,김앤박치과의원,"부산광역시 금정구 서동로 154, 3층 (서동)",051-532-2275
치과의원,조기종치과의원,"부산광역시 금정구 부곡로 77, 1,2층 (부곡동)",051-515-5131
치과의원,패밀리치과의원,"부산광역시 금정구 중앙대로 1967, 3층 (구서동)",051-517-4441
치과의원,주치과의원,"부산광역시 금정구 중앙대로 1754, 4층 (부곡동)",051-516-5277
치과의원,두실부부치과의원,"부산광역시 금정구 중앙대로 1939, 5층 (구서동)",051-512-2804
치과의원,박기봉치과의원,부산광역시 금정구 중앙대로1985번길 1 (남산동),051-516-8544
치과의원,이강민치과의원,"부산광역시 금정구 중앙대로 2021, 2층 (남산동)",051-516-9604
치과의원,성수치과의원,"부산광역시 금정구 금강로 231, 2층 (장전동)",051-517-3463
치과의원,정인영치과의원,부산광역시 금정구 중앙대로 1927 (구서동),051-517-8000
치과의원,김혁한치과의원,부산광역시 금정구 금사로 97 (금사동),051-531-5351
치과의원,모철호치과의원,"부산광역시 금정구 금정로60번길 2, 3층 (장전동)",051-515-2275
치과의원,윤치과의원,"부산광역시 금정구 부곡로 112, 2층 (부곡동)",051-516-2882
치과의원,장전치과의원,부산광역시 금정구 금강로 342 (장전동),051-581-2220
치과의원,김건치과의원,"부산광역시 금정구 구서로 17, 5층 (구서동)",051-582-2211
치과의원,윤희성치과의원,부산광역시 금정구 서동로 151 (서동),051-529-7608
치과의원,성봉훈치과의원,부산광역시 금정구 서동로 161 (서동),051-527-6204
치과의원,조상호치과의원,부산광역시 금정구 서동로 147 (서동),051-522-6444
치과의원,권미경치과의원,부산광역시 금정구 서동로 164 (서동),051-526-7081
치과의원,구서치과의원,부산광역시 금정구 구서로 20 (구서동),051-581-0081
치과의원,김봉겸치과의원,부산광역시 금정구 금강로 294 (장전동),051-518-5155
치과의원,김상천치과의원,부산광역시 금정구 서동로 145 (서동),051-523-8603
치과의원,이로운치과의원,"부산광역시 금정구 금정로 151-1, 4층 (장전동)",051-581-7585
치과의원,금샘치과의원,"부산광역시 금정구 구서로 10, 2층 (구서동)",051-517-2897
치과의원,서울건치과의원,"부산광역시 금정구 중앙대로 2093, 수광빌딩 3층 (남산동)",051-517-2828
치과의원,시온치과의원,"부산광역시 금정구 서동로 156, 2-3층 (서동)",051-532-7528
한의원,웰컴치과의원,"부산광역시 금정구 장전로 10, 3층 (장전동)",051-711-2275
한의원,맑은숲한의원,"부산광역시 금정구 중앙대로1841번길 19 (구서동, 용화빌딩)",051-512-5150
한의원,제제한의원,"부산광역시 금정구 금강로 700, 3층 301~303호 (남산동, 남산시장빌딩)",051-516-5588
한의원,경희상훈한의원,"부산광역시 금정구 금정로91번길 19, 2층 (장전동, 향춘빌딩)",051-583-1075
한의원,다스림한의원,부산광역시 금정구 온천장로125번길 68 (장전동),051-557-7588
한의원,구서한의원,"부산광역시 금정구 수림로50번길 195-3, 1,2층 (구서동)",051-518-8500
한의원,보광한의원,부산광역시 금정구 금샘로 585 (남산동),051-513-8787
한의원,바른몸청담한의원,부산광역시 금정구 중앙대로1841번길 23 (구서동),051-504-1060
한의원,용한의원,부산광역시 금정구 금사로 104 (금사동),051-525-7577
한의원,동비한의원,"부산광역시 금정구 금강로 206-16, 2층 (장전동)",051-582-5021
한의원,권한의원,"부산광역시 금정구 중앙대로1719번길 64, 2층 (부곡동)",051-512-2222
한의원,진한의원,"부산광역시 금정구 온천장로125번길 6 (장전동, 영승빌딩202호)",051-518-1275
한의원,정한의원,부산광역시 금정구 서동로 174 (서동),051-527-1075
한의원,맑은샘한의원,부산광역시 금정구 부곡로 112 (부곡동),051-582-0005
