기관명,의료기관명,의료기관주소(도로명),의료기관전화번호
종합병원,부산광역시의료원,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",051-507-3000
한의원,태산한의원,부산광역시 연제구 중앙대로 1108 (연산동),051-710-1075
치과의원,이든연합치과의원,"부산광역시 연제구 과정로 180, 4층 (연산동)",051-758-2875
치과의원,건치과의원,"부산광역시 연제구 고분로 35-1, 1층, 2층 (연산동)",051-862-8826
치과의원,제일바른치과교정과치과의원,"부산광역시 연제구 아시아드대로 91, 대방빌딩 4층 (거제동)",051-503-2800
한의원,휴맥한의원,"부산광역시 연제구 쌍미천로 4, 1층 (연산동)",051-867-8875
의원,예원피부과의원,"부산광역시 연제구 중앙대로 1033, 6층 (연산동)",051-868-8820
의원,배산소아청소년과의원,"부산광역시 연제구 연수로 223, 2층 (연산동)",051-853-2435
치과의원,더조은치과의원,"부산광역시 연제구 거제천로87번길 22, 3층 (거제동)",051-715-2875
의원,강산들정형외과의원,"부산광역시 연제구 중앙대로 1043, 4층 (연산동)",051-996-1234
치과의원,키다리아저씨 치과교정과 치과의원,"부산광역시 연제구 월드컵대로 141, 동화빌딩 (연산동)",051-711-7889
한의원,휴플러스한의원,"부산광역시 연제구 중앙대로 1090, 프라임시티 702호 (연산동)",051-866-7500
의원,부산행복마취통증의학과의원,"부산광역시 연제구 중앙대로 1111, 위드타워 9층 (연산동)",
치과의원,씨티치과의원,"부산광역시 연제구 중앙대로 1111, 13층 (연산동)",051-903-2875
의원,리쥬미의원,"부산광역시 연제구 중앙대로 1107, 9층 (연산동)",051-868-2620
의원,공정신건강의학과의원,"부산광역시 연제구 중앙대로 1033, 9층 일부호 (연산동)",051-851-7502
치과의원,김채현치과의원,"부산광역시 연제구 시청로 20, 5층 (연산동)",051-862-2822
한의원,호암한의원,"부산광역시 연제구 진연로 30-9, 3층 (연산동)",051-758-8167
의원,박창호안과의원,"부산광역시 연제구 중앙대로 1033, 5층 (연산동)",051-710-7585
의원,박민기내과의원,"부산광역시 연제구 중앙대로 1033, 2층 (연산동)",051-864-8275
치과의원,더가까운치과의원,"부산광역시 연제구 중앙대로 1033, 3층 (연산동)",051-791-2882
의원,온누리마취통증의학과의원,"부산광역시 연제구 과정로 144, 7층 (연산동)",051-759-7959
치과의원,이담치과의원,"부산광역시 연제구 아시아드대로 91, 5층 (거제동, 대방빌딩)",051-504-2879
의원,미소인의원,"부산광역시 연제구 월드컵대로 126, 5층 (거제동)",051-634-4682
의원,우리신경외과의원,"부산광역시 연제구 중앙대로 1033, 7,8층 (연산동)",051-853-1853
의원,율곡정신건강의학과의원,"부산광역시 연제구 중앙대로 1135, 9층 (연산동, 해성빌딩)",051-861-8111
한의원,목인당한의원,"부산광역시 연제구 안연로7번길 54, 1층 (연산동)",051-852-9788
한의원,비선채한의원,"부산광역시 연제구 시청로 12, 상가동 205,206,207호 (연산동, 부산더샵시티애비뉴2)",051-714-1375
의원,삼성메디칼의원,"부산광역시 연제구 중앙대로 1125, 에이동 408호 (연산동, CT타워)",051-514-7878
치과의원,달곰 치과의원,"부산광역시 연제구 과정로 307, 2층 (연산동)",051-861-2870
의원,부산행복이비인후과의원,"부산광역시 연제구 중앙대로 1111, 9층 901호 (연산동, 위드타워)",051-852-8553
의원,의료법인 열린의료재단 연산열린의원,"부산광역시 연제구 중앙대로 1091, 7층 (연산동, 제세빌딩)",051-714-0835
한의원,자연안에 S한의원,"부산광역시 연제구 월드컵대로 141, 3층 (연산동, 동화빌딩)",051-861-8808
의원,닥터메포츠의원,부산광역시 연제구 거제시장로 42 (거제동),051-851-0700
의원,이철의원,"부산광역시 연제구 연수로 219, 2층, 7층 (연산동, 신양빌딩)",051-852-5475
의원,송진호 내과,"부산광역시 연제구 중앙대로 1107 (연산동, 연산동e메디칼)",051-862-7127
한의원,의료법인제세의료재단제이에스라인한의원,"부산광역시 연제구 중앙대로 1091, 3층 (연산동, 제세빌딩)",051-862-4848
의원,박근준유외과,"부산광역시 연제구 중앙대로 1091, 4층 (연산동, 제세빌딩)",051-714-6086
의원,우리이비인후과의원,"부산광역시 연제구 안연로 36, 4층 (연산동)",051-755-5119
한의원,자연안에 한의원,"부산광역시 연제구 월드컵대로 141, 2층 (연산동, 동화빌딩)",051-861-0088
의원,위재운이비인후과의원,"부산광역시 연제구 아시아드대로 94, 3층 (거제동)",051-507-8275
한의원,가온자리한의원,"부산광역시 연제구 중앙대로 1111, 8층 801호 (연산동, 위드타워)",051-863-3377
치과의원,다솜치과의원,"부산광역시 연제구 중앙대로 1091, 4층 (연산동, 제세빌딩)",051-851-1976
한의원,물만골한의원,"부산광역시 연제구 월드컵대로 21, 3, 4층 (연산동, 물만골빌딩)",051-717-2655
치과의원,이편한치과의원,"부산광역시 연제구 안연로 36, 3층 (연산동)",051-757-0313
의원,김상현·최성호내사랑내과의원,"부산광역시 연제구 월드컵대로 24, 3,4층 (연산동)",051-923-8875
의원,조은장내과의원,"부산광역시 연제구 과정로 190 (연산동, 6층 일부)",051-758-7525
의원,이성용재활의학과의원,"부산광역시 연제구 연수로 219, 4층 (연산동)",051-913-6700
의원,온가정의학과의원,"부산광역시 연제구 명륜로2번길 7, 101동 307호 (거제동)",051-715-7582
한의원,영인한의원,"부산광역시 연제구 금련로 2, 2층 (연산동)",051-465-6555
치과의원,아트치과의원,"부산광역시 연제구 거제천로 248, 2층 (연산동)",051-866-1070
치과의원,강동치과의원,"부산광역시 연제구 과정로 274 (연산동, 3층 일부)",051-802-8849
치과의원,덴큐치과의원,"부산광역시 연제구 반송로 12, 5층 (연산동)",1666-2628
한의원,동행한의원,"부산광역시 연제구 고분로13번길 15, 1층 (연산동)",051-714-1079
한의원,명한의원,"부산광역시 연제구 과정로 286, 2층 (연산동)",051-853-2275
치과의원,세종치과의원,"부산광역시 연제구 중앙대로 1113, 6,7층 (연산동)",1544-5155
의원,신내과의원,"부산광역시 연제구 과정로 278, 2층 (연산동)",051-907-1000
의원,우아한 케이에스(KS)의원,"부산광역시 연제구 반송로 6, 4층 (연산동, 청우빌딩)",051-865-0028
의원,최병문내과의원,"부산광역시 연제구 연수로 217, 2층 (연산동)",051-862-7588
치과의원,뉴욕서울치과의원,"부산광역시 연제구 중앙대로 1111, 3층 (연산동)",051-852-7890
한의원,동심한의원,"부산광역시 연제구 월드컵대로120번길 4 (연산동, 해인상가빌라)",051-851-1990
의원,늘건강의원,"부산광역시 연제구 중앙대로 1032, 2층 (연산동)",051-853-9975
의원,연세아이(i)정신건강의학과의원,"부산광역시 연제구 중앙대로 1125 (연산동, 407호 일부)",051-911-7779
한의원,동백한의원,"부산광역시 연제구 거제천로 246, 3층 (연산동)",051-851-8118
의원,이충원뉴마내과의원,"부산광역시 연제구 중앙대로 1111, 4층 (연산동)",051-851-9088
한의원,신통방통한의원,"부산광역시 연제구 중앙대로 1125, A동 402호 (연산동)",051-851-7589
치과의원,더블유치과의원,"부산광역시 연제구 중앙대로 1125, A동 405호 (연산동)",051-931-2875
치과의원,웰니스치과의원,"부산광역시 연제구 반송로 52 (연산동, 3층 일부)",051-755-2879
한의원,내몸편안(安)한의원,"부산광역시 연제구 과정로343번길 43, C동 113호 (연산동, 연산자이아파트)",051-893-6112
의원,나무내과의원,"부산광역시 연제구 과정로 102, 4층 (연산동)",051-759-7754
의원,"척척의원,한의원","부산광역시 연제구 중앙대로 1111 (연산동, 10층 일부)",051-853-7582
한의원,"척척의원,한의원","부산광역시 연제구 중앙대로 1111 (연산동, 10층 일부)",051-853-7582
치과의원,필부부치과의원,"부산광역시 연제구 월드컵대로 21 (연산동, 6층 일부)",051-639-2828
한의원,소나무한의원,"부산광역시 연제구 아시아드대로 52, 2층 (거제동)",051-714-5151
치과의원,e웰니스치과의원,"부산광역시 연제구 중앙대로 1099 (연산동, A동 4층일부)",051-867-2885
의원,의료법인마리아의료재단 마리아의원,"부산광역시 연제구 월드컵대로 125, 7,8층 (연산동)",051-441-6555
의원,참조은마취통증의학과의원,"부산광역시 연제구 반송로 6, 7층 (연산동)",051-851-0075
한의원,하늘체한의원,"부산광역시 연제구 반송로 6, 6층 (연산동)",051-868-7866
의원,밝은미인의원,"부산광역시 연제구 중앙대로 1111, 5층 (연산동)",051-852-8861
한의원,하나로한의원,"부산광역시 연제구 명륜로2번길 8, 2,3층 (거제동)",051-852-3515
치과의원,안정태치과의원,"부산광역시 연제구 연수로 219, 3층 (연산동)",051-317-2875
의원,진소아청소년과의원,"부산광역시 연제구 신촌로 51, 4층 (거제동)",051-852-0070
치과의원,우리치과의원,"부산광역시 연제구 고분로 200, 404호 (연산동, 연산엘지아파트주상가)",051-757-2772
의원,민의원,"부산광역시 연제구 중앙대로 1111, 14층 (연산동)",051-914-3000
치과의원,온드림치과의원,"부산광역시 연제구 연수로 100, 2층 (연산동)",051-868-2835
의원,사랑가득의원,"부산광역시 연제구 반송로 88 (연산동, 1층 일부)",051-863-6789
의원,센트럴이비인후과의원,"부산광역시 연제구 고분로 2, 2층 (연산동)",051-862-6242
한의원,올바른한의원,부산광역시 연제구 중앙대로1124번길 6 (연산동),051-851-7515
의원,킹남성의원,"부산광역시 연제구 월드컵대로 122, 6층 (연산동)",051-852-7870
의원,세원마취통증의학과의원,"부산광역시 연제구 월드컵대로 12, 3층 (연산동)",051-865-8688
한의원,소리청행운한의원,"부산광역시 연제구 월드컵대로 140, 5층 (연산동)",051-701-3132
치과의원,사랑e치과의원,"부산광역시 연제구 시청로 34, 2층 (연산동)",051-851-2872
한의원,인다라한의원,"부산광역시 연제구 월드컵대로 149, 8층 (연산동)",051-851-5075
치과의원,애플치과의원,"부산광역시 연제구 과정로 140, 2층 (연산동)",051-863-7528
치과의원,미치과의원,"부산광역시 연제구 과정로 212, 3층 (연산동)",051-754-8228
의원,연제마취통증의학과의원,"부산광역시 연제구 거제천로 89 (거제동, 2층 일부)",051-867-7285
의원,초이스의원,"부산광역시 연제구 중앙대로 1080, 5층 (연산동)",051-851-0153
한의원,아마르한의원,"부산광역시 연제구 중앙대로 1097 (연산동, 4층 일부)",051-852-1489
한의원,선린한의원,"부산광역시 연제구 반송로 33 (연산동, 5층 일부)",051-861-7582
한의원,인수한의원,부산광역시 연제구 중앙대로 1067-1 (연산동),051-863-5355
한의원,한빛수한의원,"부산광역시 연제구 중앙대로 1113, 3층 (연산동)",051-853-8275
치과의원,서울MS치과의원,"부산광역시 연제구 월드컵대로 125, 301호 (연산동, 더웰타워)",051-866-2275
의원,부산갑외과의원,"부산광역시 연제구 중앙대로 1111, 7층 (연산동)",051-861-8765
의원,윤준호이비인후과의원,"부산광역시 연제구 과정로 102, 2층 (연산동)",051-751-0915
의원,풀과 나무 의원,"부산광역시 연제구 고분로 200, 308호 (연산동, 연산엘지아파트 제상가)",051-753-7615
의원,시원비뇨기과의원,"부산광역시 연제구 반송로 8, 5층 (연산동)",051-852-0042
치과의원,미플러스바른이치과의원,"부산광역시 연제구 반송로 8, 3층 (연산동)",051-851-0428
의원,현대소아청소년과의원,"부산광역시 연제구 법원북로 34 (거제동, 2층 일부)",051-507-9775
의원,연산예스비뇨기과의원,"부산광역시 연제구 반송로 9, 3층 (연산동)",051-867-5050
한의원,청심당 한의원,"부산광역시 연제구 과정로 212, 2층 (연산동)",051-752-1054
한의원,자담 한의원,"부산광역시 연제구 중앙대로 1092, 2층 (연산동)",051-867-1075
치과의원,서울탑플란트치과의원,"부산광역시 연제구 중앙대로 1077, 3층 (연산동)",051-866-7575
한의원,수한의원,"부산광역시 연제구 과정로 140, 2층 (연산동)",051-752-7575
한의원,해맑은 한의원,"부산광역시 연제구 반송로 9, 2층 (연산동)",051-865-8899
치과의원,연산반도치과의원,"부산광역시 연제구 월드컵대로 128, 6층 (연산동)",051-863-2875
의원,미라클의원,"부산광역시 연제구 중앙대로 1077 (연산동, 4층 일부)",051-867-4552
한의원,서강약손한의원,"부산광역시 연제구 중앙대로 1133, 2층 (연산동)",051-851-7582
한의원,태양한의원,"부산광역시 연제구 연수로 234, 2층 (연산동)",051-852-7782
한의원,벽옥한의원,"부산광역시 연제구 중앙대로 1131, 연산메디칼센타 2층 (연산동)",051-853-0105
의원,푸른숲의원,"부산광역시 연제구 월드컵대로 3, 2층 (연산동)",051-861-7495
치과의원,이사랑치과의원,"부산광역시 연제구 명륜로 16, 4층 (거제동)",051-245-2877
한의원,청담한의원,"부산광역시 연제구 거제천로 100, 1,2층 (연산동)",051-864-7577
의원,부산이비인후과의원,"부산광역시 연제구 중앙대로 1077, 1,6층 일부 중앙대로1075번길8, 타임빌B동 2,3층 (연산동)",051-862-5000
의원,휴마취통증의학과의원,"부산광역시 연제구 중앙대로 1107, 10층 (연산동)",051-865-8288
의원,백상붕의원,"부산광역시 연제구 거제천로 248, 3층 (연산동)",051-865-7600
한의원,으뜸한의원,"부산광역시 연제구 과정로 226 (연산동, 2층 일부)",051-865-9494
의원,센텀미플러스의원,"부산광역시 연제구 반송로 6 (연산동, 9층 일부)",051-852-3979
의원,아이비산부인과의원,"부산광역시 연제구 월드컵대로 122, 2층 (연산동)",051-852-2852
의원,스타미피부과의원,"부산광역시 연제구 반송로 6, 5층 (연산동)",051-868-0090
의원,마노메디비뇨기과의원,"부산광역시 연제구 고분로 2 (연산동, 5층 일부)",051-442-0844
한의원,선재한의원,"부산광역시 연제구 연수로 137 (연산동, 2층 일부)",051-852-7975
의원,다솜의원,"부산광역시 연제구 종합운동장로 7 (거제동, 지하1층 일부)",051-504-7857
의원,포이즌흉부외과의원,"부산광역시 연제구 월드컵대로 139 (연산동, 4층 일부)",051-851-7441
치과의원,화이트스토리치과의원,"부산광역시 연제구 중앙대로 1094, 6층 (연산동)",051-863-7666
의원,전지홍내과의원,"부산광역시 연제구 연수로 226, 2,3층 (연산동)",051-865-7766
의원,참안과의원,"부산광역시 연제구 중앙대로 1107, 2,3층 (연산동)",051-866-2700
치과의원,뉴욕초이스치과의원,"부산광역시 연제구 중앙대로 1107, 5층 (연산동)",051-866-2806
의원,이성훈신경과의원,"부산광역시 연제구 중앙대로 1107, 601호 (연산동)",051-851-7581
한의원,본디올현대한의원,"부산광역시 연제구 아시아드대로 94 (거제동, 3층 일부)",051-507-1119
의원,다모의원,"부산광역시 연제구 월드컵대로 125 (연산동, 3층 일부)",051-851-6575
치과의원,소담치과의원,"부산광역시 연제구 중앙대로1134번길 15, 2층 (연산동)",051-853-7522
치과의원,프라하치과의원,"부산광역시 연제구 고분로 2, 4층 (연산동)",051-861-2879
치과의원,김성식치과의원,"부산광역시 연제구 과정로 215, 2층 (연산동)",051-758-7442
치과의원,서울치과의원,"부산광역시 연제구 중앙대로 1039, 2층 (연산동)",051-852-2882
의원,아이누리&박 정신건강의학과의원,"부산광역시 연제구 고분로 2, 3층 (연산동)",051-851-8875
의원,한사랑외과의원,"부산광역시 연제구 중앙대로 1131, 5층 (연산동)",051-852-7800
의원,칸앤장내과의원,"부산광역시 연제구 월드컵대로 128, 7,8층 (연산동)",051-819-1111
한의원,양기봉한의원,"부산광역시 연제구 월드컵대로 128, 2층 (연산동)",051-867-6999
한의원,코호한의원,"부산광역시 연제구 중앙대로 1111 (연산동, 6층 일부)",051-861-7505
한의원,허리인하이키한의원,"부산광역시 연제구 중앙대로 1052, 1,3층 (연산동)",051-852-1079
치과의원,램브란트치과의원,"부산광역시 연제구 반송로 6, 8층 (연산동)",051-862-2233
한의원,심지한의원,"부산광역시 연제구 월드컵대로 282, 101호 (거제동)",051-506-2002
의원,김채규내과의원,"부산광역시 연제구 과정로 144 (연산동, 2층 일부)",051-759-4555
한의원,명강한의원,"부산광역시 연제구 거제천로 248, 5층 (연산동)",051-862-0002
치과의원,당신e빛나는 치과의원,"부산광역시 연제구 아시아드대로 96 (거제동, 2층 일부)",051-504-1882
의원,유바외과의원,부산광역시 연제구 월드컵대로 197 (거제동),051-862-9559
의원,더스타의원,"부산광역시 연제구 중앙대로 1112, 4층 (연산동)",051-866-7755
의원,이안과의원,부산광역시 연제구 중앙대로 1129 (연산동),051-866-7592
의원,마디사랑정형외과의원,"부산광역시 연제구 월드컵대로 24 (연산동, 2, 5층)",051-852-8577
의원,참조은내과의원,"부산광역시 연제구 거제천로 89, 3층 (거제동)",051-851-7530
의원,석동호정형외과의원,"부산광역시 연제구 월드컵대로 125, 4,5층 (연산동)",051-861-8275
한의원,쿨한의원,"부산광역시 연제구 고분로 118, 2층 (연산동)",051-853-8600
치과의원,미소치과의원,"부산광역시 연제구 거제천로 258, 203호 (연산동)",051-868-3338
의원,부산메디칼내과의원,"부산광역시 연제구 월드컵대로 125, 6층 (연산동)",051-851-5533
한의원,새생명한의원,"부산광역시 연제구 아시아드대로 96, 3층 (거제동)",051-507-7970
한의원,버드나무한의원,부산광역시 연제구 거제시장로 14 (거제동),051-851-1075
치과의원,월드치과의원,"부산광역시 연제구 월드컵대로 153, 7층 (연산동)",051-866-2875
의원,장대식정신건강의학과의원,"부산광역시 연제구 중앙대로 1131, 4층 (연산동)",051-865-2175
치과의원,푸른사과치과의원,"부산광역시 연제구 명륜로2번길 7, 3층 (거제동)",051-991-2875
의원,피부사랑피부과의원,"부산광역시 연제구 과정로 144, 5층 (연산동)",051-759-7600
한의원,비안코거제한의원,"부산광역시 연제구 해맞이로 85, 1,2층 (거제동)",051-501-0123
의원,해피의원,"부산광역시 연제구 중앙대로 1131, 3층 (연산동, 연산메디칼센타)",051-866-0393
한의원,씨엠씨연산한의원,"부산광역시 연제구 월드컵대로 152, 2층 (연산동)",051-863-4800
한의원,덕인한의원,부산광역시 연제구 아시아드대로 38 (거제동),051-506-4124
의원,보강재활의학과의원,부산광역시 연제구 월드컵대로 9 (연산동),051-851-8275
한의원,허성욱한의원,"부산광역시 연제구 중앙대로 1171-4, 2,3층 (거제동)",051-853-3030
의원,다솜의원,"부산광역시 연제구 연수로 89 (연산동, 3층 일부)",051-868-7855
한의원,동림한의원,"부산광역시 연제구 과정로 322, 2층 (연산동)",051-861-0030
의원,연산수이비인후과의원,"부산광역시 연제구 거제천로287번길 12-3, 2층 (거제동)",051-861-5695
치과의원,이튼부부치과의원,"부산광역시 연제구 중앙대로 1032, 3층 (연산동)",051-862-2275
치과의원,하나어린이치과의원,"부산광역시 연제구 반송로 8 (연산동, 4층 일부)",051-867-3357
의원,윤영소아청소년과의원,"부산광역시 연제구 과정로 102, 5층 (연산동)",051-751-5707
의원,시원한의원,"부산광역시 연제구 거제천로 112, 2층 (연산동)",051-867-7105
한의원,경희한의원,"부산광역시 연제구 시청로 20, 4층 (연산동)",051-865-9989
의원,시원한내과의원,"부산광역시 연제구 반송로 21, 3층 (연산동)",051-852-3200
한의원,본디올성수한의원,부산광역시 연제구 과정로 257 (연산동),051-866-5060
치과의원,가지런이치과의원,"부산광역시 연제구 중앙대로 1131, 6층 (연산동)",051-853-2233
의원,연산마취통증의학과의원,"부산광역시 연제구 중앙대로 1112, 8층 (연산동)",051-865-1616
의원,하정환이비인후과의원,"부산광역시 연제구 반송로 5, 2,3층 (연산동)",051-851-0088
의원,성은의원,"부산광역시 연제구 고분로 26-1, 2층 (연산동)",051-861-5575
의원,큰나무정형외과의원,부산광역시 연제구 월드컵대로 113 (연산동),051-868-1577
의원,7내과의원,"부산광역시 연제구 중앙대로 1112, 7층 (연산동)",051-866-9777
치과의원,더굿치과의원,"부산광역시 연제구 종합운동장로 7 (거제동, 지하1층 일부)",051-506-0066
의원,미래안과의원,"부산광역시 연제구 중앙대로 1112, 3층 (연산동)",051-862-5700
한의원,드림한의원,부산광역시 연제구 월드컵대로 195 (거제동),051-852-4242
치과의원,미시간치과의원,"부산광역시 연제구 중앙대로 1112, 6층 (연산동)",051-851-7528
한의원,다래헌한의원,"부산광역시 연제구 중앙대로 1034, 2층 (연산동)",051-851-0975
한의원,웅진한의원,부산광역시 연제구 월드컵대로 22 (연산동),051-867-4848
치과의원,스마일치과의원,"부산광역시 연제구 과정로 185, 2층 (연산동)",051-753-2275
치과의원,다우치과의원,부산광역시 연제구 월드컵대로 221 (거제동),051-507-6660
의원,현대정형외과의원,부산광역시 연제구 금련로 5 (연산동),051-867-8673
치과의원,튜울립치과의원,"부산광역시 연제구 법원북로 16, 209호 (거제동, 거제홈타운2차상가)",051-501-2830
의원,박윤하비뇨기과의원,"부산광역시 연제구 반송로 5, 4층 (연산동)",051-867-5335
한의원,제정한의원,부산광역시 연제구 월드컵대로 18 (연산동),051-862-1551
의원,목화마취통증의학과의원,"부산광역시 연제구 월드컵대로 128, 3층 (연산동)",051-865-8988
의원,정언섭맥의원,"부산광역시 연제구 중앙대로 1107, 8층 (연산동)",051-867-7045
의원,최정신건강의학과의원,"부산광역시 연제구 중앙대로 1111 (연산동, 8층 일부)",051-853-3664
의원,연제가정의학과의원,부산광역시 연제구 거제천로87번길 22 (거제동),051-863-4200
의원,박병률의원,부산광역시 연제구 시청로 34 (연산동),051-868-7772
치과의원,패밀리치과의원,"부산광역시 연제구 아시아드대로 94, 3층 (거제동)",051-507-2882
의원,박성화정신건강의학과의원,"부산광역시 연제구 중앙대로 1114 (연산동, 4층 일부)",051-865-1121
치과의원,밝은미소치과의원,"부산광역시 연제구 중앙대로 1093, 7,8층 (연산동)",051-861-8545-6
의원,이재윤내과의원,"부산광역시 연제구 아시아드대로 94 (거제동, 2층 일부)",051-507-7577
의원,한빛프롤로의원,"부산광역시 연제구 중앙대로 1113, 2층 (연산동)",051-868-3545
치과의원,삼성치과의원,"부산광역시 연제구 중앙대로 1097, 5층 (연산동)",051-864-2878
의원,연산메디칼의원,"부산광역시 연제구 월드컵대로 17, 2층 (연산동)",051-852-1315
한의원,하나한의원,부산광역시 연제구 진남로 621 (연산동),051-864-4700
의원,여계순소아청소년과의원,"부산광역시 연제구 아시아드대로 92, 2층 (거제동)",051-502-5331
치과의원,한길치과의원,"부산광역시 연제구 법원남로15번길 12 (거제동, 5층 일부)",051-507-2875
조산원,한우리조산원,부산광역시 연제구 중앙천로25번길 1 (연산동),051-867-2900
의원,신은주소아청소년과의원,부산광역시 연제구 세병로 39 (연산동),051-861-4151
의원,송창원신경과의원,"부산광역시 연제구 중앙대로 1043, 3층 (연산동)",051-864-2511
의원,수피부과의원,"부산광역시 연제구 중앙대로 1112, 5층 (연산동)",051-853-6633
한의원,연미한의원,부산광역시 연제구 연수로 217 (연산동),051-863-8233
의원,이정호소아청소년과의원,"부산광역시 연제구 과정로 144 (연산동, 6층 일부)",051-753-5855
의원,안정혁이비인후과의원,"부산광역시 연제구 과정로 148, 4층 (연산동)",051-757-6789
의원,이브산부인과의원,"부산광역시 연제구 과정로 148, 3층 (연산동)",051-751-0375
의원,여동승내과의원,"부산광역시 연제구 연수로 137, 3층 (연산동)",051-863-0096
한의원,현앤정일침한의원,"부산광역시 연제구 중앙대로 1077 (연산동, 9층일부)",051-864-1789
의원,부산내과의원,"부산광역시 연제구 과정로 148, 2층 (연산동)",051-751-8666
치과의원,고운이치과의원,"부산광역시 연제구 연수로 140, 2층 (연산동)",051-868-7053
치과의원,워싱턴치과의원,"부산광역시 연제구 반송로 21, 2층 (연산동)",051-862-2875
치과의원,권효현치과의원,"부산광역시 연제구 연수로 104, 2층 (연산동)",051-863-2504
의원,이신영산부인과의원,"부산광역시 연제구 반송로 5, 5층 (연산동)",051-865-3736
의원,한빛강내과의원,"부산광역시 연제구 반송로 6, 3층 (연산동)",051-852-8052
의원,김남표이비인후과의원,"부산광역시 연제구 연수로 222-1, 2층 (연산동)",051-868-8200
의원,강지윤안과의원,"부산광역시 연제구 과정로 111, 2층 (연산동)",051-761-1001
의원,명성마취통증의학과의원,"부산광역시 연제구 반송로 21, 4층 (연산동)",051-852-8562
의원,황국형비뇨기과의원,"부산광역시 연제구 중앙대로 1107, 7층 (연산동)",051-866-8575
치과의원,민지학치과의원,"부산광역시 연제구 과정로 144, 3층 (연산동)",051-751-7515
한의원,동산한의원,부산광역시 연제구 과정로 144 (연산동),051-758-2011
치과의원,윤진태치과의원,"부산광역시 연제구 중앙대로 1067-1, 2층 (연산동)",051-852-2833
의원,박형준내과의원,부산광역시 연제구 과정로 220-1 (연산동),051-757-0832
치과의원,하얀-e치과의원,"부산광역시 연제구 연수로 213, 2층 (연산동)",051-851-2825
의원,박정하정형외과의원,"부산광역시 연제구 과정로 274, 영지빌딩 4,6층 (연산동)",051-863-2622
의원,하나정형외과의원,"부산광역시 연제구 과정로 126, 2층 (연산동)",051-757-9009
