기관명,의료기관명,의료기관주소(도로명),의료기관전화번호
의원,김보석내과의원,"부산광역시 수영구 수영로 394, 7~8층 (남천동, 남천동메디칼센터)",051-626-8575
의원,이수자산부인과의원,"부산광역시 수영구 연수로 421, 2층 (수영동)",051-524-1419
의원,제일병리과의원,"부산광역시 수영구 수영로 412, 5층 (남천동)",051-623-0036
의원,박찬복내과의원,"부산광역시 수영구 수영로 581, 3층 (광안동)",051-503-7975
의원,나비샘내과의원,"부산광역시 수영구 수영로 710-1, 301호 (광안동, 프라임메디칼빌딩)",051-758-7776
의원,오름정신건강의학과의원,"부산광역시 수영구 수영로 466, 4층 (남천동)",051-917-8275
의원,수마취통증의학과의원,"부산광역시 수영구 수영로 710-1, 9층 (광안동, 프라임메디컬빌딩)",051-756-3088
의원,제일정형외과의원,"부산광역시 수영구 수영로 588, 지하1,1~2,4층 (광안동)",051-758-9911
의원,우리동네정형외과의원,부산광역시 수영구 연수로 402 (광안동),051-911-8288
의원,행복담은의원,부산광역시 수영구 황령대로 521 (남천동),051-623-9273
의원,장튼튼아침내과의원,"부산광역시 수영구 황령대로489번길 22, 2층 (남천동, 한성빌딩)",051-626-2900
의원,코끼리이비인후과의원,"부산광역시 수영구 수영로 710-1, 5층 (광안동)",051-758-7677
의원,제일가정의원,부산광역시 수영구 수영로 602-2 (광안동),051-754-9764
의원,우리들의원,"부산광역시 수영구 수영로 695, 1층 (수영동)",051-723-2001
의원,서울재활의학과의원,"부산광역시 수영구 수영로 669, 지하1층,2,3,4층 (광안동)",051-756-5100
의원,윤혁진내과의원,"부산광역시 수영구 수영로 410, 301호 (남천동, 정암빌딩)",051-624-0874
의원,신세계피부과의원,"부산광역시 수영구 수영로 669, 6층 (광안동)",051-753-9911
의원,한국법의의원,"부산광역시 수영구 수영로 384, 7층 (남천동)",051-627-9994
의원,강남제신경과의원,"부산광역시 수영구 수영로 697, 5층 (수영동)",051-759-7676
의원,웰빙내과의원,"부산광역시 수영구 광일로 49, 102호 (광안동)",051-759-5151
의원,아이들의꿈재활의원,"부산광역시 수영구 수영로 410, 10층 (남천동, 정암빌딩)",051-625-1299
의원,한귀원정신건강의학과의원,부산광역시 수영구 수영로 394 (남천동),051-612-1119
의원,가네샤의원,부산광역시 수영구 수영로 400 (남천동),051-625-5757
의원,따뜻한청진기내과의원,"부산광역시 수영구 남천동로 36, 3층 (남천동)",051-623-6240
의원,강대식내과의원,부산광역시 수영구 수영로 632 (광안동),051-753-2888
의원,김향주소아청소년과의원,"부산광역시 수영구 연수로315번길 16, 301호 (망미동)",051-756-5875
의원,인구보건복지협회 부산시지회 가족보건의원,부산광역시 수영구 수영로 425 (남천동),051-624-5583
의원,엘르산부인과의원,"부산광역시 수영구 수영로 379, 9층 (남천동)",051-626-8090
의원,임은주가정의학과의원,"부산광역시 수영구 광안해변로 95, 104호 (남천동, 비치아파트A상가)",051-622-9112
의원,본정형외과의원,부산광역시 수영구 수영로725번길 4 (수영동),051-752-1700
의원,정다운의원,부산광역시 수영구 광일로 30 (광안동),051-754-7585
의원,삼성정형외과의원,"부산광역시 수영구 수영로 636, 1,2층 (광안동)",051-754-8710
의원,이광재 정형외과 의원,"부산광역시 수영구 황령대로 493, 1,3,5층 (남천동, 성보빌딩)",051-625-7878
의원,정안과의원,"부산광역시 수영구 수영로 611, 3층 (광안동)",051-757-5012
의원,광안성모마취통증의학과의원,부산광역시 수영구 수영로 637-3 (광안동),051-751-5700
의원,세일의원,부산광역시 수영구 광안해변로277번길 66 (민락동),051-754-8004
의원,강수연 의원,부산광역시 수영구 수영성로 27 (수영동),051-752-3946
의원,서재영 내과의원,"부산광역시 수영구 수영로741번길 29, 2층 (수영동)",051-757-3465
의원,신세계정신건강의학과의원,"부산광역시 수영구 수영로 710-1, 10층 (광안동, 프라임메디칼빌딩)",051-751-1236
의원,세강내과의원,부산광역시 수영구 수영로 582 (광안동),051-751-3838
의원,보민내과의원,"부산광역시 수영구 수영로 669, 8층 (광안동, 신세계메디칼센터)",051-759-0075
의원,우리가정의원,부산광역시 수영구 망미로22번길 51 (망미동),051-757-7552
의원,남태수내과의원,부산광역시 수영구 수영로 681 (광안동),051-757-7579
의원,한사랑 가정의원,부산광역시 수영구 수영로 605-1 (광안동),051-755-2258
의원,장혁기 이비인후과의원,"부산광역시 수영구 수영로 386-1, 원탄크리닉 2층 (남천동)",051-628-6699
의원,수영윤내과의원,"부산광역시 수영구 수영로 517, 3층 301호 (광안동, 센터럴타워)",051-758-7667
의원,박후근 내과의원,"부산광역시 수영구 수영로 386-1, 4층 (남천동, 원탄클리닉)",051-628-2134
의원,준의원,부산광역시 수영구 광남로 199 (광안동),051-755-0920
의원,혜민의원,부산광역시 수영구 과정로 43 (망미동),051-761-2388
의원,권우영 이비인후과의원,부산광역시 수영구 연수로 419 (수영동),051-754-9889
의원,자혜내과의원,부산광역시 수영구 과정로 69 (망미동),051-759-0284
의원,새빛안과의원,"부산광역시 수영구 수영로 710-1, 4층 (광안동, 프라임메디컬 빌딩)",051-754-8833
의원,예인비뇨기과의원,부산광역시 수영구 수영로 710-1 (광안동),051-756-2718
의원,하나마취통증의학과의원,부산광역시 수영구 수영로 678 (광안동),051-756-2834
의원,이금희내과의원,부산광역시 수영구 광남로 45 (남천동),051-621-5373
의원,수민정형외과의원,부산광역시 수영구 광남로 211 (민락동),051-757-6060
의원,이종열 가정의학과의원,부산광역시 수영구 구락로 69 (망미동),051-752-2215
의원,유재민마취통증의학과의원,"부산광역시 수영구 수영로 382, 2층 (남천동)",051-611-5557
의원,흰돌의원,"부산광역시 수영구 연수로260번길 53, 2층 (망미동, 흰돌실버타운)",051-758-8894
의원,김영훈 이비인후과의원,부산광역시 수영구 수영로 611 (광안동),051-761-2211
의원,성심의원,부산광역시 수영구 민락로6번길 36 (민락동),051-761-3361
의원,최원만의원,"부산광역시 수영구 수영로384번길 39, 3층 (남천동, 청운빌딩)",051-627-0291
의원,우리가정의학과의원,부산광역시 수영구 광안해변로 431 (민락동),051-757-4020
의원,강순옥성형외과의원,부산광역시 수영구 연수로 423 (수영동),051-759-6572
의원,지산의원,부산광역시 수영구 광남로 223 (민락동),051-753-9755
의원,고요의원,부산광역시 수영구 호암로 6 (광안동),051-753-2477
의원,유성종 성형외과의원,부산광역시 수영구 수영로 384 (남천동),051-622-5577
의원,이채일정신건강의학과의원,부산광역시 수영구 수영로 695 (수영동),051-756-4455
의원,이현숙정신건강의학과의원,"부산광역시 수영구 광안로 4, 3층 (광안동, SK뷰상가)",051-752-0075
의원,황영표내과의원,"부산광역시 수영구 광남로 203, 2층 (민락동)",051-751-5056
의원,신세계안과의원,부산광역시 수영구 수영로 669 (광안동),051-758-3497
의원,조병우 이비인후과의원,부산광역시 수영구 수영로 511-1 (광안동),051-758-3593
의원,이익재 이비인후과의원,부산광역시 수영구 수영로 592 (광안동),051-753-4450
의원,한가족 내과의원,"부산광역시 수영구 수영로 557, 201호 (광안동, 호암빌딩)",051-757-4433
의원,유니온 피부과의원,부산광역시 수영구 수영로 386-1 (남천동),051-621-2050
의원,하서홍소아청소년과의원,"부산광역시 수영구 과정로 48, 2층 (망미동)",051-752-5185
의원,정 소아청소년과의원,부산광역시 수영구 광남로 14 (남천동),051-625-8889
의원,천만희이비인후과의원,"부산광역시 수영구 과정로 73 (망미동, 하영메디칼빌딩)",051-754-1110
의원,사랑의외과의원,부산광역시 수영구 수영로 535 (광안동),051-756-4488
의원,박노춘내과의원,"부산광역시 수영구 연수로 376, 1층 (광안동)",051-755-4312
의원,대동의원,부산광역시 수영구 구락로 74 (망미동),051-756-1531
의원,고운산부인과의원,"부산광역시 수영구 과정로 59, 2층 (망미동)",051-754-5258
의원,김익모 내과의원,부산광역시 수영구 수영로 408 (남천동),051-622-5600
의원,이현태 비뇨기과의원,부산광역시 수영구 수영로 687 (광안동),051-753-8008
의원,박희령 내과의원,부산광역시 수영구 과정로 61 (망미동),051-755-2941
일반요양병원,센텀해인요양병원,"부산광역시 수영구 수영로 671, 5층~11층 (광안동)",051-755-8555
일반요양병원,다온요양병원,부산광역시 수영구 남천서로20번길 49 (남천동),051-935-3000
일반요양병원,수영효도요양병원,"부산광역시 수영구 과정로 49, 2~7층 (망미동)",051-760-8000
일반요양병원,의료법인강혜의료재단남천사랑의요양병원,부산광역시 수영구 수영로 456 (남천동),051-625-1122
일반요양병원,광안정다운요양병원,"부산광역시 수영구 광안해변로 292, 3~6층 (민락동)",051-710-0119
일반요양병원,광안참사랑요양병원,부산광역시 수영구 광안해변로 235 (민락동),051-751-1515
일반요양병원,의료법인동일의료재단수영나라요양병원,부산광역시 수영구 연수로 404 (광안동),051-758-7777
일반요양병원,의료법인백세의료재단백세요양병원,부산광역시 수영구 광일로43번길 25 (광안동),051-753-9595
일반요양병원,의료법인전일의료재단한가족요양병원,"부산광역시 수영구 장대골로7번길 45, 2~4층 (광안동)",051-752-6100
종합병원,의료법인 은성의료재단 좋은강안병원,부산광역시 수영구 수영로 493 (남천동),051-625-0900
종합병원,비에이치에스한서병원,부산광역시 수영구 수영로 615 (광안동),051-756-0081
치과병원,성분도치과병원,부산광역시 수영구 수영로 501 (광안동),051-752-9011
치과의원,박정형웰치과의원,"부산광역시 수영구 수영로 517, 센터럴타워 10층 1001호 (광안동)",051-755-7528
치과의원,원플란트치과의원,"부산광역시 수영구 과정로 63, 3층 (망미동)",051-758-8074
치과의원,고은치과의원,"부산광역시 수영구 연수로 415, 3층 (수영동)",051-932-2828
치과의원,닥터권치과의원,"부산광역시 수영구 수영로 581, 7층 (광안동)",051-638-2527
치과의원,서울미소치과의원,"부산광역시 수영구 수영로 400, 2층 (남천동)",051-627-2804
치과의원,베토벤치과의원,"부산광역시 수영구 수영로 754, 상가동 2층 203, 204호 (민락동, 센텀비스타동원)",051-758-2882
치과의원,보스톤치과의원,"부산광역시 수영구 수영로 690-5, 9층 (광안동)",051-784-2812
치과의원,이주희치과의원,"부산광역시 수영구 광남로 193, 2층 (광안동)",051-757-5782
치과의원,조윤정치과의원,"부산광역시 수영구 광일로 28, 2층 (광안동, S.R빌딩)",051-751-2225
치과의원,리조이스치과의원,"부산광역시 수영구 수영로 630, 5층 (광안동)",051-755-2080
치과의원,닥터풍치과의원,"부산광역시 수영구 수영로 703, 4층 (수영동)",051-757-7528
치과의원,바른이김대식치과의원,"부산광역시 수영구 수영로 465, 3층 (남천동)",051-715-5075
치과의원,세움치과의원,"부산광역시 수영구 수영로 690-5, 5층 501호 (광안동)",051-754-2874
치과의원,홍성치과의원,"부산광역시 수영구 수영로 411, 7층 (남천동, 글로리)",051-625-2804
치과의원,다이아몬드치과의원,"부산광역시 수영구 수영로 699, 901호 (수영동, 수영동디온플레이스)",051-742-1075
치과의원,수영어린이치과의원,"부산광역시 수영구 수영로 685, 6층 (광안동, 영동빌딩)",051-784-7575
치과의원,사랑치과의원,"부산광역시 수영구 수영로 767, 3층 (수영동, 메종빌딩)",051-754-2895
치과의원,우리치과의원,"부산광역시 수영구 수영로 379, 2층 (남천동)",051-622-2882
치과의원,본아치과의원,"부산광역시 수영구 수영로 637-3, 2층 (광안동)",051-759-8083
치과의원,전재호바른이치과의원,"부산광역시 수영구 수영로652번길 6, 2층 207,208호 (광안동, 정원센텀뷰)",051-761-2285
치과의원,광안제일치과의원,부산광역시 수영구 수영로 588 (광안동),051-757-2879
치과의원,유엘치과의원,"부산광역시 수영구 수영로 466, 3층 (남천동, 도원빌딩)",051-612-0428
치과의원,이마음치과의원,"부산광역시 수영구 수영로 386, 3층 (남천동)",051-612-2208
치과의원,로덴치과의원,부산광역시 수영구 연수로 419 (수영동),051-714-2775
치과의원,뉴욕치과의원,"부산광역시 수영구 수영로 577, 7층 (광안동, 지우메디팰리스)",051-754-2826
치과의원,참사랑주치과의원,"부산광역시 수영구 남천동로 36, 301호 (남천동, KM타워)",051-628-2275
치과의원,화이트치과의원,부산광역시 수영구 수영로464번길 6 (남천동),051-611-1288
치과의원,웰컴치과의원,부산광역시 수영구 수영로 410 (남천동),051-622-7001
치과의원,란치과의원,부산광역시 수영구 수영로 607 (광안동),051-646-3436
치과의원,C&K연합치과의원,"부산광역시 수영구 수영로 710-1, 7층 (광안동, 프라임메디컬)",051-752-7528
치과의원,늘푸른치과의원,"부산광역시 수영구 수영로 384, 3층 (남천동, 수영빌딩)",051-625-7528
치과의원,동그라미치과의원,"부산광역시 수영구 수영로 697, 7층 (수영동, 홍인빌딩)",051-759-7528
치과의원,위드미치과의원,"부산광역시 수영구 광안로7번길 45, 2층 (광안동)",051-757-2873
치과의원,이주연치과의원,부산광역시 수영구 수영로 410-1 (남천동),051-623-3677
치과의원,노바치과의원,부산광역시 수영구 장대골로 4 (광안동),051-751-2480
치과의원,유앤아이치과의원,"부산광역시 수영구 연수로 423, 2층 (수영동)",051-755-3300
치과의원,태경치과의원,"부산광역시 수영구 수영로 386-1, 3층 (남천동)",051-625-9370
치과의원,SM광안치과의원,"부산광역시 수영구 광안로 4 (광안동, 광안동에스케이뷰)",051-754-2804
치과의원,남천부부치과의원,"부산광역시 수영구 황령대로489번길 24, 3층 (남천동, 삼일빌딩)",051-621-7776
치과의원,킴스치과의원,"부산광역시 수영구 과정로 73, 2층 (망미동, 하영메디컬빌딩)",051-757-5773
치과의원,희망을주는치과의원,부산광역시 수영구 광남로130번길 4 (광안동),051-758-3788
치과의원,새로운 치과의원,부산광역시 수영구 연수로 266 (망미동),051-759-2859
치과의원,치아사랑치과의원,"부산광역시 수영구 광남로 48-1, 2층 (남천동, 부천빌딩)",051-624-3005
치과의원,행복한 치과의원,"부산광역시 수영구 수영로741번길 5, 3층 (수영동)",051-758-2008
치과의원,이사랑치과의원,부산광역시 수영구 수영로 599 (광안동),051-758-2835
치과의원,월드치과의원,"부산광역시 수영구 수영로 669, 5층 (광안동, 신세계메디칼)",051-752-0005
치과의원,광안미치과의원,부산광역시 수영구 수영로 582 (광안동),051-752-7171
치과의원,행복치과의원,부산광역시 수영구 수영로 393 (남천동),051-623-2875
치과의원,에이스 치과의원,"부산광역시 수영구 수영로 371, 202호 (남천동, 부광빌딩)",051-625-2662
치과의원,LA치과의원,"부산광역시 수영구 수영로 693, 3층 (수영동)",051-752-2875
치과의원,최지원 치과의원,"부산광역시 수영구 광안해변로294번길 3, A동 201호 (민락동, 진로비치아파트상가)",051-751-5747
치과의원,하얀이치과의원,부산광역시 수영구 황령대로481번길 30 (남천동),051-628-2728
치과의원,연세 치과의원,부산광역시 수영구 수영로 695 (수영동),051-752-0080
치과의원,민락 치과의원,부산광역시 수영구 광남로 217 (민락동),051-758-5666
치과의원,프랜드 치과의원,부산광역시 수영구 수영로 632 (광안동),051-756-2804
치과의원,장철호심재성 치과의원,부산광역시 수영구 연수로 271-1 (망미동),051-757-3527
치과의원,한마음 치과의원,부산광역시 수영구 수영로 707 (수영동),051-751-1547
치과의원,송의환 치과의원,부산광역시 수영구 수영로 565 (광안동),051-753-6370
치과의원,최동준 치과의원,부산광역시 수영구 과정로 43 (망미동),051-758-4474
치과의원,명성 치과의원,"부산광역시 수영구 수영로 665, 3층 (광안동, 송파지오스V)",051-759-1505
치과의원,최철민 치과의원,"부산광역시 수영구 수영로 394, 3층 (남천동)",051-756-2885
치과의원,문치과의원,부산광역시 수영구 감포로 2 (민락동),051-758-7528
치과의원,광안리더스치과의원,부산광역시 수영구 수영로 597 (광안동),051-758-4661
치과의원,남천 치과의원,"부산광역시 수영구 수영로 381, 5층 (남천동, 남천빌딩)",051-625-3773
치과의원,리치치과의원,"부산광역시 수영구 연수로315번길 16, 403-405호 (망미동, 더샵파크리치상가)",051-757-1022
치과의원,센스 치과의원,부산광역시 수영구 광남로 214 (민락동),051-751-7366
치과의원,이성문 치과의원,부산광역시 수영구 광남로 45 (남천동),051-626-4700
치과의원,김주형 치과의원,부산광역시 수영구 과정로 52-2 (망미동),051-754-2875
치과의원,손희익 치과의원,부산광역시 수영구 수영로705번길 1 (수영동),051-754-9261
치과의원,이향 치과의원,부산광역시 수영구 연수로 267 (망미동),051-757-2882
치과의원,상아 치과의원,부산광역시 수영구 수영로 521 (광안동),051-753-0054
치과의원,한겨레 치과의원,부산광역시 수영구 광남로 47 (남천동),051-627-9614
치과의원,정윤식 치과의원,부산광역시 수영구 수영로 579 (광안동),051-755-5050
치과의원,성인 치과의원,부산광역시 수영구 연수로 400 (광안동),051-752-2961
치과의원,윤경규 치과의원,부산광역시 수영구 수영로 520 (광안동),051-751-3386
치과의원,김창술 치과의원,부산광역시 수영구 과정로 61 (망미동),051-755-2053
치과의원,노동환 치과의원,"부산광역시 수영구 수영로 668, 501호 (광안동, 화목오피스텔)",051-751-2875
치과의원,양희택치과의원,"부산광역시 수영구 수영로 653, 2층 (광안동)",051-753-1454
치과의원,송철규치과의원,"부산광역시 수영구 광안해변로 95, 301-304호 (남천동, 비치아파트 에이상가)",051-623-6859
치과의원,엄영호 치과의원,부산광역시 수영구 수영로 709-1 (수영동),051-753-0270
한의원,경희림다한의원,"부산광역시 수영구 남천동로16번길 14, 1층 (남천동)",051-624-2888
한의원,광안동의보감한의원,부산광역시 수영구 수영로606번길 128 (광안동),051-711-0575
한의원,설덕인한의원,"부산광역시 수영구 수영로 703, 3층 (수영동)",051-756-2777
한의원,포도나무한의원,"부산광역시 수영구 수영로 577, 2층 (광안동)",051-864-0011
한의원,하은한의원,부산광역시 수영구 남천서로 5 (남천동),051-621-1205
한의원,정한의원,"부산광역시 수영구 수영로 584, 2층,지하1층 (광안동)",051-710-0444
한의원,고운그대한의원,"부산광역시 수영구 수영로 411, 4층 (남천동, 글로리)",051-623-1275
한의원,남천맥한의원,부산광역시 수영구 수영로388번길 6 (남천동),051-714-6675
한의원,감철우한의원,"부산광역시 수영구 수영로 699, 501호 (수영동, 수영동디온플레이스)",051-622-6222
한의원,천리향한의원,"부산광역시 수영구 수영로 765-1, 2층 (수영동, 채안빌딩)",051-754-3388
한의원,구구팔한의원,"부산광역시 수영구 수영로 697, 2층 (수영동, 홍인빌딩)",051-752-9981
한의원,다솜가정한의원,"부산광역시 수영구 광남로 49, 1층 (남천동)",051-363-9300
한의원,여사랑한의원,"부산광역시 수영구 수영로 393, 2층 (남천동)",051-637-1600
한의원,우상우한의원,"부산광역시 수영구 남천동로10번길 45, 1층 (남천동)",051-625-5335
한의원,화목한의원,"부산광역시 수영구 연수로 421, 지하1층, 1층 (수영동)",051-755-2538
한의원,김재연한의원,"부산광역시 수영구 황령산로 3, 2층 (남천동)",051-611-1075
한의원,금강한의원,"부산광역시 수영구 수영로 667, 3층 (광안동)",051-761-1075
한의원,소담한의원,"부산광역시 수영구 수영로 557 (광안동, 호암빌딩1층)",051-753-7511
한의원,평안한의원,"부산광역시 수영구 수영로 709, 2층 (수영동)",051-583-7510
한의원,남천도원한의원,"부산광역시 수영구 수영로 506, 상가2호 (광안동)",051-627-8022
한의원,정인부부한의원,"부산광역시 수영구 황령대로489번길 24, 2층 (남천동)",051-623-7510
한의원,참힐링한의원,"부산광역시 수영구 남천동로108번길 12, 3층 (남천동)",051-625-4080
한의원,갑산한의원,"부산광역시 수영구 수영로 570, 3층 (광안동)",051-701-1123
한의원,바른몸청담한의원,"부산광역시 수영구 수영로 390, 2층 (남천동)",051-626-9923
한의원,그린한의원,"부산광역시 수영구 수영로 382, 4층 (남천동, 광림빌딩)",051-626-1163
한의원,규림한의원,부산광역시 수영구 과정로67번길 13 (망미동),051-205-5382
한의원,나라경희한의원,"부산광역시 수영구 수영로384번길 40, 1층 (남천동)",051-819-8700
한의원,편백미즈한의원,"부산광역시 수영구 수영로 596, 1층 (광안동)",051-751-1075
한의원,현덕한의원,"부산광역시 수영구 수영로 708, 2층 (광안동)",051-755-1075
한의원,허재규한의원,"부산광역시 수영구 남천동로 36, 3층303호 (남천동)",051-624-6999
한의원,대남한의원,부산광역시 수영구 수영로 398 (남천동),051-625-1075
한의원,고든몸한의원,"부산광역시 수영구 수영로 410, 남천동 정암빌딩 601호 (남천동)",051-741-1212
한의원,온세한의원,부산광역시 수영구 수영로 386 (남천동),051-611-7510
한의원,구구한의원,부산광역시 수영구 과정로 59 (망미동),051-865-9494
한의원,진한의원,"부산광역시 수영구 과정로 44, 2층 (망미동)",051-753-8275
한의원,청담한의원,"부산광역시 수영구 과정로 73, 4층 (망미동)",051-919-9878
한의원,청희당한의원,부산광역시 수영구 수영로 582 (광안동),051-504-6484
한의원,망미의봄한의원,"부산광역시 수영구 연수로 337, 1~2층 (망미동)",051-753-1992
한의원,뿌리한의원,"부산광역시 수영구 수영로 386-1, 원탄크리닉 7층 (남천동)",051-621-0075
한의원,세봉한의원,부산광역시 수영구 수영로 394 (남천동),051-623-7227
한의원,진명한의원,부산광역시 수영구 연수로 375 (수영동),051-754-9797
한의원,경희백동진한의원,부산광역시 수영구 감포로 23 (광안동),051-751-3721
한의원,미소담한의원,"부산광역시 수영구 수영로 667 (광안동, 광안빌딩)",051-754-1175
한의원,한빛한의원,부산광역시 수영구 망미번영로38번길 88 (광안동),051-751-5678
한의원,약산한의원,"부산광역시 수영구 장대골로7번길 45, 502호 (광안동, 광안유림노르웨이아침)",051-754-7501
한의원,혜민한의원,부산광역시 수영구 과정로 65 (망미동),051-758-1075
한의원,동호한의원,부산광역시 수영구 수영로741번길 12 (수영동),051-761-0779
한의원,새날한의원,"부산광역시 수영구 수영로 589, 2,3층 (광안동)",051-752-9811
한의원,좌두철한의원,부산광역시 수영구 수영로 466 (남천동),051-623-3030
한의원,대동한의원,부산광역시 수영구 연수로 261 (망미동),051-752-8077
한의원,소나무한의원,"부산광역시 수영구 수영로 653, 1층, 지하1층 (광안동)",051-751-2293
한의원,심해한의원,부산광역시 수영구 광남로 194 (민락동),051-751-0999
한의원,이동규한의원,부산광역시 수영구 호암로 7 (광안동),051-751-1187
한의원,고현한의원,부산광역시 수영구 광남로 214 (민락동),051-751-7975
한의원,창송 한의원,"부산광역시 수영구 연수로 412 (광안동, 연수로 412 (광안동))",051-757-1071
한의원,혜광한의원,부산광역시 수영구 수미로 59 (망미동),051-755-4600
한의원,부산영천손한의원,"부산광역시 수영구 수영로 381, 3층 (남천동)",051-624-4771
한의원,솔한의원,부산광역시 수영구 수영로 701-1 (수영동),051-755-0070
한의원,오철한 한의원,부산광역시 수영구 광안해변로294번길 3 (민락동),051-755-5121
한의원,정관한의원,부산광역시 수영구 광남로 217 (민락동),051-757-6585
한의원,소생한의원,부산광역시 수영구 수영로 384 (남천동),051-612-1010
한의원,동의보원한의원,"부산광역시 수영구 수영로 526-1, 2층 (광안동, 해금빌딩)",051-758-2331
한의원,요산한의원,부산광역시 수영구 황령산로7번길 46 (남천동),051-626-8680
한의원,경희한의원,부산광역시 수영구 수영로705번길 6 (수영동),051-758-8885
한의원,수영본한의원,부산광역시 수영구 감포로 7 (광안동),051-751-8275
